date,apparel_cpi,wages
1964,100.0,100.0
1969,117.58474576271185,124.8
1974,140.46610169491524,170.79999999999998
1979,175.84745762711864,245.2
1984,215.04237288135593,335.20000000000005
1989,250.84745762711864,386.00000000000006
1994,282.41525423728814,447.99999999999994
1999,278.60169491525426,530.8
2004,254.44915254237284,620.4
2009,249.9300847457627,735.6
2014,270.9364406779661,815.6
2019,263.6991525423729,925.1999999999999
2024,274.7563559322034,1184.3999999999999
2026,289.0550847457627,1296.0
