month,year,trendchase_cumulative_aud,capsule_cumulative_aud
0,0.0,47.5,162.07
1,0.08333333333333333,95.0,162.07
2,0.16666666666666666,142.5,162.07
3,0.25,190.0,162.07
4,0.3333333333333333,237.5,162.07
5,0.4166666666666667,285.0,162.07
6,0.5,332.5,162.07
7,0.5833333333333334,380.0,162.07
8,0.6666666666666666,427.5,162.07
9,0.75,475.0,162.07
10,0.8333333333333334,522.5,162.07
11,0.9166666666666666,570.0,162.07
12,1.0,617.5,162.07
13,1.0833333333333333,665.0,162.07
14,1.1666666666666667,712.5,162.07
15,1.25,760.0,162.07
16,1.3333333333333333,807.5,162.07
17,1.4166666666666667,855.0,162.07
18,1.5,902.5,162.07
19,1.5833333333333333,950.0,162.07
20,1.6666666666666667,997.5,162.07
21,1.75,1045.0,162.07
22,1.8333333333333333,1092.5,162.07
23,1.9166666666666667,1140.0,162.07
24,2.0,1187.5,162.07
25,2.0833333333333335,1235.0,162.07
26,2.1666666666666665,1282.5,324.14
27,2.25,1330.0,324.14
28,2.3333333333333335,1377.5,324.14
29,2.4166666666666665,1425.0,324.14
30,2.5,1472.5,324.14
31,2.5833333333333335,1520.0,324.14
32,2.6666666666666665,1567.5,324.14
33,2.75,1615.0,324.14
34,2.8333333333333335,1662.5,324.14
35,2.9166666666666665,1710.0,324.14
36,3.0,1757.5,324.14
37,3.0833333333333335,1805.0,324.14
38,3.1666666666666665,1852.5,324.14
39,3.25,1900.0,324.14
40,3.3333333333333335,1947.5,324.14
41,3.4166666666666665,1995.0,324.14
42,3.5,2042.5,324.14
43,3.5833333333333335,2090.0,324.14
44,3.6666666666666665,2137.5,324.14
45,3.75,2185.0,324.14
46,3.8333333333333335,2232.5,324.14
47,3.9166666666666665,2280.0,324.14
48,4.0,2327.5,324.14
49,4.083333333333333,2375.0,324.14
50,4.166666666666667,2422.5,324.14
51,4.25,2470.0,324.14
52,4.333333333333333,2517.5,324.14
53,4.416666666666667,2565.0,486.21
54,4.5,2612.5,486.21
55,4.583333333333333,2660.0,486.21
56,4.666666666666667,2707.5,486.21
57,4.75,2755.0,486.21
58,4.833333333333333,2802.5,486.21
59,4.916666666666667,2850.0,486.21
60,5.0,2897.5,486.21
